split_no,accuracy_synthetic,avg_pr_macro_synthetic,accuracy_real,avg_pr_macro_real,feature_overlap_count,feature_overlap_proportion,MMD_score,discriminative_score,distance_to_closest,distance_to_closest_base
1,0.8073,0.7509,0.844,0.8644,22.0,0.4681,0.008644581612111,0.6287128712871287,22.4505,24.1871
2,0.7569,0.7326,0.844,0.822,20.0,0.4167,0.0134644299095348,0.6475716064757161,21.3557,24.3844
3,0.8211,0.746,0.8761,0.8758,16.0,0.3556,0.0100629464900361,0.6435897435897436,22.17,23.7678
5,0.8157,0.8196,0.8894,0.9152,20.0,0.4444,0.016918071294187,0.6077922077922078,20.698,23.786
4,0.8303,0.8074,0.8761,0.8489,19.0,0.4043,0.0168771342911603,0.6487804878048781,20.7408,24.0923
average,0.80626,0.7712999999999999,0.86592,0.8652599999999999,19.4,0.41782,0.01319343271940584,0.6352893833899349,21.483000000000004,24.04352
